"X.Sampling_code";"Field_code";"Technique";"Substrat_type";"Topography";"Complexity";"Community";"Coral_biota";"Sponge";"Non_scleratinian_coral";"Scleratinian_coral";"Fish_diversity";"Fish_abundance";"Remarks"
"111";"MA_MFO2_019";"M19";"rosette";"mix";"4";"2";"pebbled_sediment";NA;NA;NA;NA;"1";"3";"Tombant à substrat mixte. pas mal d'éponges. bancs de fusillers"
"112";"MA_MFO2_020";"M20";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"2";"3";"Corail dur vivant 90%. bonne diversité et abondance ++ notamment balistes"
"113";"MA_MFO2_021";"M21";"rosette";"hard";"2";"3";"coral";NA;NA;NA;NA;"2";"3";"Corail dur 70%. banc de fusillers. chirurgiens"
"114";"MA_MFO2_022";"M22";"rosette";"soft";"0";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Au pied d'un tombant vertical. un thonidé vient voir la caméra. plus de poissons en remontant sur le tombant"
"115";"MA_MFO2_023";"M23";"rosette";"mix";"2";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"2";"Fond sableux avec nombreuses gorgones. peu de poissons"
"116";"MA_MFO2_024";"M24";"rosette";"soft";"1";"1";"bare_sediment";NA;NA;NA;NA;"1";"1";"Fond sableux nu. une carangue noire et 2 thons"
"117";"MA_MHA_031";"M31";"rosette";"hard";"1";"3";"coral";NA;NA;NA;NA;"3";"3";"Corail du recouvrement 90%. abondance et diversité ++ (chirurgiens. fusillers)"
"118";"MA_MHA_032";"M32";"rosette";"mix";"0";"2";"mixed";NA;NA;NA;NA;"1";"2";"Plaine sableuse au pied du tombant. peu de poissons"
"119";"MA_MHA_033";"M33";"rosette";"mix";"1";"3";"coral";NA;NA;NA;NA;"2";"3";"Corail du recouvrement 80%. pas mal de poissons"
"120";"MA_MHA_034";"M34";"rosette";"mix";"1";"2";"pebbled_sediment";NA;NA;NA;NA;"1";"3";"Début du tombant. présence de gorgones et d'éponges. Peu de poissons mais un banc de fusillers et un petit banc de thons"
"121";"MA_MHA_067";"M67";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"122";"MA_MHA_068";"M68";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"123";"MA_MHA_069";"M69";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"124";"MA_MHA_070";"M70";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"125";"MA_MHA_071";"M71";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"126";"MA_MHA_072";"M72";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"127";"MA_MHA_073";"M73";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"128";"MA_MHA_074";"M74";"rosette";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"129";"MA_MHA_075";"C1";"RUV";"hard";"2";"3";"coral";"other";"0";"1";"1";"";"";"corail mort en majorité"
"130";"MA_MHA_076";"C2";"RUV";"mix";"1";"3";"mixed";"mix_anthozoan";"1";"1";"1";"";"";NA
"131";"MA_MHA_077";"C3";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";"plaine de sable"
"132";"MA_MHA_078";"C4";"RUV";"soft";"1";"2";"algae";"other";"1";"1";"0";"";"";NA
"133";"MA_MHA_079";"C5";"RUV";"hard";"2";"3";"coral";"mix_anthozoan";"1";"2";"2";"";"";NA
"134";"MA_MHA_080";"C6";"RUV";"mix";"1";"3";"mixed";"mix_anthozoan";"1";"1";"1";"";"";NA
"135";"MA_MHA_081";"C7";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";"plaine de sable"
"136";"MA_MHA_082";"C8";"RUV";"soft";"1";"1";"algae";"other";"0";"1";"0";"";"";NA
"137";"MA_MHA_083";"C9";"RUV";"soft";"1";"1";"mixed";"other";"1";"1";"0";"";"";NA
"138";"MA_MHA_084";"C10";"RUV";"mix";"1";"3";"mixed";"scleratinian_monospecific";"0";"1";"2";"";"";"Substrat dur avec petites zones de sable"
"139";"MA_MHA_085";"C11";"RUV";"mix";"0";"2";"pebbled_sediment";"other";"0";"0";"1";"";"";"Limite plaine de sable/tombant"
"140";"MA_MHA_086";"C12";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"141";"MA_MHA_087";"C13";"RUV";"soft";"0";"1";"algae";"non_scleratinian";"1";"2";"0";"";"";NA
"142";"MA_MHA_088";"C14";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";"Au pied du tombant sur le sable"
"143";"MA_MHA_089";"C15";"RUV";"mix";"1";"2";"mixed";"other";"0";"1";"1";"";"";"Limite récif / sable"
"144";"MA_MHA_090";"C16";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"1";"0";"3";"";"";NA
"145";"MA_MHA_091";"C17";"RUV";"soft";"1";"1";"mixed";"other";"1";"1";"0";"";"";NA
"146";"MA_MHA_092";"C18";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"1";"2";"";"";NA
"147";"MA_MHA_093";"C19";"RUV";"hard";"1";"3";"coral";"mix_anthozoan";"1";"2";"1";"";"";NA
"148";"MA_MHA_094";"C20";"RUV";"hard";"1";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"149";"MA_MHA_095";"C17bis";"RUV";"";"";"";"";"";"";"";"";"";"";"Pas de vidéos"
"150";"MA_MHA_100";"C21";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"151";"MA_MHA_101";"C22";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"1";"0";"0";"";"";NA
"152";"MA_MHA_102";"C23";"RUV";"mix";"1";"3";"mixed";"mix_anthozoan";"0";"2";"2";"";"";NA
"153";"MA_MHA_103";"C24";"RUV";"";"";"";"";"";"";"";"";"";"";"Pas de vidéos"
"154";"MA_MHA_104";"C25";"RUV";"soft";"0";"1";"mixed";"other";"1";"1";"0";"";"";NA
"155";"MA_MHA_105";"C26";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"2";"";"";NA
"156";"MA_MHA_106";"C27";"RUV";"mix";"0";"3";"mixed";"mix_anthozoan";"0";"1";"2";"";"";"Limite récif / sable"
"157";"MA_MHA_107";"C28";"RUV";"mix";"1";"3";"mixed";"scleratinian_monospecific";"0";"1";"2";"";"";NA
"158";"MA_MHA_108";"C29";"RUV";"soft";"0";"1";"algae";"other";"1";"1";"0";"";"";NA
"159";"MA_MHA_109";"C30";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"2";"";"";NA
"160";"MA_MHA_110";"C31";"RUV";"soft";"0";"2";"mixed";"mix_anthozoan";"0";"2";"1";"";"";"Sur le sable, avec vue sur le récif"
"161";"MA_MHA_111";"C32";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";"Sur le sable au pied du tombant"
"162";"MA_MHA_112";"C33";"RUV";"soft";"0";"1";"algae";"other";"1";"1";"0";"";"";NA
"163";"MA_MHA_113";"C34";"RUV";"soft";"1";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"164";"MA_MHA_114";"C35";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"2";"1";"";"";NA
"165";"MA_MHA_115";"C36";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"0";"0";"1";"";"";"Au pied du tombant sur le sable"
"166";"MA_MHA_116";"C37";"RUV";"hard";"1";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"167";"MA_MHA_117";"C38";"RUV";"mix";"2";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"168";"MA_MHA_118";"C39";"RUV";"mix";"1";"1";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"169";"MA_MHA_119";"C40";"RUV";"mix";"2";"2";"mixed";"mix_anthozoan";"0";"1";"1";"";"";NA
"170";"MA_MHA_120";"C41";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"0";"0";"1";"";"";"Au pied du tombant sur le sable"
"171";"MA_MHA_121";"C42";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"1";"2";"";"";NA
"172";"MA_MHA_134";"C43";"RUV";"soft";"1";"3";"mixed";"non_scleratinian";"2";"3";"0";"";"";NA
"173";"MA_MHA_135";"C44";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";"Au pied du tombant sur le sable nu"
"174";"MA_MHA_136";"C45";"RUV";"hard";"1";"3";"coral";"scleratinian_monospecific";"0";"0";"3";"";"";NA
"175";"MA_MHA_137";"C46";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"2";"";"";NA
"176";"MA_MHA_138";"C47";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"1";"2";"";"";NA
"177";"MA_MHA_139";"C48";"RUV";"soft";"1";"1";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"178";"MA_MHA_140";"C49";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"2";"";"";NA
"179";"MA_MHA_141";"C50";"RUV";"hard";"1";"3";"coral";"mix_anthozoan";"0";"2";"2";"";"";NA
"180";"MA_MHA_142";"C51";"RUV";"soft";"1";"2";"mixed";"mix_anthozoan";"0";"2";"1";"";"";NA
"181";"MA_MHA_143";"C52";"RUV";"soft";"1";"1";"algae";"other";"2";"1";"0";"";"";NA
"182";"MA_MHA_203";"C56";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"1";"0";"2";"";"";NA
"183";"MA_MHA_204";"C55";"RUV";"hard";"1";"2";"mixed";"other";"0";"0";"1";"";"";NA
"184";"MA_MHA_205";"C54";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"2";"2";"";"";NA
"185";"MA_MHA_206";"C53";"RUV";"mix";"1";"2";"mixed";"non_scleratinian";"2";"2";"0";"";"";NA
"186";"MA_MHA_207";"C57";"RUV";"mix";"2";"2";"mixed";"non_scleratinian";"2";"2";"0";"";"";NA
"187";"MA_MHA_208";"C58";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"1";"2";"";"";NA
"188";"MA_MHA_209";"C59";"RUV";"hard";"1";"3";"coral";"mix_anthozoan";"0";"1";"2";"";"";NA
"189";"MA_MHA_210";"C60";"RUV";"hard";"0";"3";"algae";"other";"0";"0";"1";"";"";NA
"190";"MA_MHA_211";"C61";"RUV";"mix";"1";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"191";"MA_MHA_212";"C62";"RUV";"mix";"1";"3";"mixed";"mix_anthozoan";"0";"2";"1";"";"";NA
"192";"MA_MHA_213";"C63";"RUV";"hard";"0";"3";"coral";"mix_anthozoan";"0";"2";"1";"";"";NA
"193";"MA_MHA_214";"C64";"RUV";"hard";"0";"3";"algae";"other";"0";"0";"2";"";"";NA
"194";"MA_MHA_215";"C65";"RUV";"mix";"0";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"195";"MA_MHA_216";"C66";"RUV";"mix";"1";"2";"mixed";"other";"1";"1";"0";"";"";NA
"196";"MA_MHA_217";"C67";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"197";"MA_MHA_218";"C68";"RUV";"hard";"1";"3";"coral";"scleratinian_monospecific";"1";"0";"2";"";"";NA
"198";"MA_MHA_219";"C69";"RUV";"mix";"0";"3";"mixed";"mix_anthozoan";"0";"2";"2";"";"";NA
"199";"MA_MHA_220";"C70";"RUV";"hard";"0";"3";"algae";"other";"0";"0";"2";"";"";"Quelques coraux morts"
"200";"MA_MHA_221";"C71";"RUV";"hard";"1";"3";"coral";"scleratinian_monospecific";"0";"0";"3";"";"";NA
